#{"t_start": 1626664554.518051, "env_id": "RockWalk-v0"}
r,l,t
81.708613,35,429.666641
133.7739,54,430.387718
184.226859,63,431.133807
126.007878,46,431.835404
333.124644,101,433.250345
176.584034,62,433.991238
117.703327,45,434.120299
126.928051,47,434.817684
418.968041,120,436.231873
495.029648,139,438.374726
144.273783,52,439.542299
72.628016,33,439.636395
257.207462,71,442.325508
129.64951,49,442.648331
98.477509,40,443.945594
42.024192,25,444.034279
49.294614,27,444.736892
31.59702,22,444.83233
419.12846,124,446.894967
362.86248,97,449.847144
82.147751,35,449.967594
42.131213,25,450.100413
130.506141,48,451.269939
144.261161,53,452.020144
62.615904,30,452.119683
56.97503,29,452.799886
198.572985,68,453.573488
61.176768,30,453.671024
225.494766,72,455.038106
177.241724,59,455.776236
210.315236,67,456.534622
276.237574,84,457.331921
67.064382,31,457.434669
183.516572,61,458.199139
93.161707,38,458.910453
71.050664,33,459.018245
339.505123,100,460.419757
197.018124,67,461.18158
193.281885,63,461.936751
68.184418,32,462.625159
90.399204,38,462.743628
137.994754,51,463.487791
103.306918,41,464.187023
79.411645,35,464.295697
227.385397,72,465.060532
42.649402,25,465.765096
57.079984,29,465.865345
214.913342,72,466.651423
155.296685,54,467.384888
53.934261,28,467.475752
70.357733,33,468.166155
146.243462,52,468.888699
223.761497,71,469.662723
31.608265,22,469.745216
670.264147,184,471.920707
131.936066,48,472.987717
306.134793,92,474.270919
85.539404,36,475.39549
65.45728,31,475.524799
50.439515,27,476.503287
117.198984,44,476.70134
506.867668,130,479.640035
74.574881,33,479.780415
240.446644,75,480.837328
156.915806,54,481.782001
53.90153,28,481.897546
53.56395,28,482.667148
153.089044,53,483.542504
42.777914,25,483.647339
148.852261,52,484.668553
61.09308,30,484.777959
312.785923,96,486.740638
182.483227,63,487.760741
23.372952,20,487.843863
53.420573,28,488.731405
143.433126,51,488.929919
67.86922,32,489.69827
267.435838,82,490.845221
192.79779,66,491.877386
367.460027,110,493.680092
119.934753,50,494.568653
43.11103,25,494.687599
27.475875,21,494.783689
88.536232,37,495.6778
75.296578,34,496.502386
67.577411,32,496.599694
180.06101,61,497.701719
151.703371,55,499.297658
148.026795,54,500.363927
100.318437,41,500.521354
196.026844,66,501.431732
87.923629,38,502.233802
182.528545,63,503.019934
186.332992,61,503.80021
279.012407,89,504.636167
35.012855,23,505.340943
101.593586,40,505.464005
95.348114,40,506.190642
224.850575,75,506.992958
55.60186,28,507.672149
149.728567,54,507.830141
540.362532,152,510.14761
230.988634,76,510.939363
122.939426,46,511.654611
72.293206,33,511.777521
585.609428,148,514.526442
57.928722,29,514.625728
266.596777,82,515.619695
144.46773,53,516.701975
215.995594,69,517.753608
61.99622,30,518.516885
192.106723,64,519.569281
323.528252,96,520.450924
207.178643,67,521.349958
123.727976,46,522.13423
177.066227,61,523.085358
100.659767,40,523.269826
230.264748,77,525.548325
236.542222,75,526.418227
128.598048,48,527.224077
285.656821,86,528.099855
42.144858,25,528.182458
49.773951,27,528.876109
392.17174,114,530.496329
278.545458,85,531.53029
53.310428,28,531.664305
171.00306,59,532.71872
194.45182,64,533.801518
81.775139,35,534.95344
61.685416,30,535.159839
137.600727,50,536.589395
109.99514,44,537.49079
133.002948,49,537.6747
387.400758,115,539.533863
97.423559,39,540.414115
